,1,0.5,0.2
427,4-5,4.0-4.4,4.2-4.3
428,4-5,4.5-4.9,4.4-4.5
429,4-5,4.5-4.9,4.6-4.7
430,3-4,3.5-3.9,3.6-3.7
431,4-5,4.5-5.0,4.8-5.0
432,4-5,4.0-4.4,4.2-4.3
433,4-5,4.5-4.9,4.6-4.7
434,4-5,4.5-4.9,4.4-4.5
435,3-4,3.5-3.9,3.8-3.9
436,4-5,4.0-4.4,4.2-4.3
437,4-5,4.5-5.0,4.8-5.0
438,4-5,4.5-4.9,4.6-4.7
439,4-5,4.0-4.4,4.0-4.1
440,4-5,4.0-4.4,4.2-4.3
441,4-5,4.0-4.4,4.2-4.3
442,3-4,3.0-3.4,3.0-3.1
443,4-5,4.0-4.4,4.4-4.5
444,4-5,4.0-4.4,4.2-4.3
445,4-5,4.5-4.9,4.6-4.7
446,4-5,4.0-4.4,4.2-4.3
447,4-5,4.0-4.4,4.2-4.3
448,4-5,4.0-4.4,4.0-4.1
449,4-5,4.0-4.4,4.2-4.3
450,2-3,2.5-2.9,2.6-2.7
451,4-5,4.5-4.9,4.4-4.5
452,4-5,4.5-4.9,4.6-4.7
453,4-5,4.5-4.9,4.8-4.9
454,4-5,4.5-4.9,4.4-4.5
455,4-5,4.5-4.9,4.6-4.7
456,4-5,4.5-4.9,4.6-4.7
457,4-5,4.0-4.4,4.0-4.1
458,4-5,4.5-4.9,4.6-4.7
459,4-5,4.0-4.4,4.4-4.5
460,4-5,4.0-4.4,4.4-4.5
461,4-5,4.0-4.4,4.2-4.3
462,4-5,4.0-4.4,4.0-4.1
463,4-5,4.0-4.4,4.2-4.3
464,3-4,3.0-3.4,3.2-3.3
465,4-5,4.0-4.4,4.0-4.1
466,4-5,4.0-4.4,4.0-4.1
467,4-5,4.5-4.9,4.4-4.5
468,4-5,4.0-4.4,4.2-4.3
469,4-5,4.5-4.9,4.4-4.5
470,4-5,4.0-4.4,4.2-4.3
471,4-5,4.0-4.4,4.4-4.5
472,3-4,3.0-3.4,3.2-3.3
473,4-5,4.0-4.4,4.0-4.1
474,4-5,4.5-4.9,4.4-4.5
475,3-4,3.5-3.9,3.8-3.9
476,4-5,4.0-4.4,4.4-4.5
477,3-4,3.5-3.9,3.4-3.5
478,3-4,3.5-3.9,3.8-3.9
479,4-5,4.0-4.4,4.0-4.1
480,3-4,3.5-3.9,3.4-3.5
481,4-5,4.5-4.9,4.6-4.7
482,2-3,2.5-2.9,2.6-2.7
483,4-5,4.5-4.9,4.4-4.5
484,3-4,3.5-3.9,3.4-3.5
485,4-5,4.0-4.4,4.4-4.5
486,4-5,4.5-4.9,4.4-4.5
487,4-5,4.0-4.4,4.0-4.1
488,4-5,4.5-4.9,4.6-4.7
489,4-5,4.0-4.4,4.2-4.3
490,4-5,4.5-4.9,4.6-4.7
491,4-5,4.5-4.9,4.4-4.5
492,4-5,4.5-4.9,4.6-4.7
493,3-4,3.5-3.9,3.6-3.7
494,3-4,3.0-3.4,3.2-3.3
495,4-5,4.0-4.4,4.2-4.3
496,3-4,3.5-3.9,3.8-3.9
497,4-5,4.5-4.9,4.4-4.5
498,4-5,4.0-4.4,4.0-4.1
499,3-4,3.5-3.9,3.6-3.7
500,4-5,4.0-4.4,4.2-4.3
501,4-5,4.5-4.9,4.4-4.5
502,4-5,4.0-4.4,4.0-4.1
503,4-5,4.5-4.9,4.4-4.5
504,4-5,4.0-4.4,4.2-4.3
505,4-5,4.0-4.4,4.0-4.1
506,3-4,3.5-3.9,3.8-3.9
507,4-5,4.5-4.9,4.8-4.9
508,4-5,4.5-4.9,4.6-4.7
509,4-5,4.5-4.9,4.6-4.7
510,4-5,4.0-4.4,4.2-4.3
511,4-5,4.0-4.4,4.2-4.3
512,4-5,4.5-4.9,4.4-4.5
513,4-5,4.0-4.4,4.0-4.1
514,4-5,4.5-4.9,4.6-4.7
515,3-4,3.0-3.4,3.0-3.1
516,4-5,4.0-4.4,4.2-4.3
517,4-5,4.0-4.4,4.0-4.1
518,4-5,4.0-4.4,4.0-4.1
519,4-5,4.0-4.4,4.4-4.5
520,4-5,4.0-4.4,4.2-4.3
521,2-3,2.0-2.4,2.0-2.1
522,4-5,4.0-4.4,4.0-4.1
523,4-5,4.5-4.9,4.6-4.7
524,4-5,4.0-4.4,4.2-4.3
525,4-5,4.0-4.4,4.0-4.1
526,3-4,3.5-3.9,3.8-3.9
527,4-5,4.0-4.4,4.0-4.1
528,4-5,4.5-4.9,4.4-4.5
529,4-5,4.0-4.4,4.2-4.3
530,4-5,4.0-4.4,4.2-4.3
531,4-5,4.5-4.9,4.8-4.9
532,4-5,4.0-4.4,4.2-4.3
533,4-5,4.0-4.4,4.2-4.3
534,4-5,4.5-4.9,4.4-4.5
535,4-5,4.0-4.4,4.0-4.1
536,4-5,4.0-4.4,4.2-4.3
537,4-5,4.0-4.4,4.2-4.3
538,3-4,3.5-3.9,3.8-3.9
539,4-5,4.0-4.4,4.2-4.3
540,4-5,4.0-4.4,4.2-4.3
541,2-3,2.0-2.4,2.2-2.3
542,3-4,3.5-3.9,3.6-3.7
543,4-5,4.0-4.4,4.2-4.3
544,4-5,4.0-4.4,4.4-4.5
545,4-5,4.0-4.4,4.2-4.3
546,4-5,4.0-4.4,4.2-4.3
547,4-5,4.5-4.9,4.4-4.5
548,4-5,4.0-4.4,4.0-4.1
549,4-5,4.5-4.9,4.6-4.7
550,4-5,4.5-4.9,4.8-4.9
