,numerical
3106,3.1
6043,4.3
6714,4.1
7201,4.5
2905,3.5
2975,4.4
2545,4.2
8624,4.5
6607,4.5
2873,4.4
2536,3.6
7142,3.0
7880,4.5
8700,3.5
6105,2.3
5004,3.4
1146,4.8
197,4.6
6353,4.9
5634,3.8
8650,3.6
2645,4.5
183,4.3
1178,4.7
9182,3.8
8439,4.6
7936,4.5
2499,4.0
4946,4.6
7845,4.7
4248,4.5
2623,4.4
3601,4.4
7871,4.6
5722,4.8
6870,5.0
5618,4.8
924,4.0
8801,2.5
6036,3.6
8960,4.8
457,4.1
4767,4.3
6198,4.8
7506,3.2
3640,4.3
7536,3.8
2061,3.9
6396,4.6
3360,4.0
1027,4.2
6379,4.6
6001,4.4
2830,4.6
3606,4.6
1208,4.8
6825,4.3
4639,4.3
1320,4.6
5645,5.0
2878,4.2
4825,3.8
8753,4.1
2695,4.3
3369,4.6
8671,5.0
1459,4.2
7896,4.3
4916,4.6
568,3.5
616,4.1
705,4.6
8360,4.0
544,4.2
4186,4.9
4474,4.3
3008,4.4
345,4.4
2303,4.2
2966,4.3
5842,4.2
999,4.0
5151,4.2
752,4.4
8778,3.5
110,4.1
86,4.6
3573,4.3
8170,2.9
7164,4.3
5434,3.7
6132,4.0
4571,4.7
3129,4.4
8940,4.3
665,4.5
9041,3.9
1277,4.7
4414,3.3
1126,4.7
7126,4.5
4765,4.1
4969,4.0
6784,4.6
9327,4.0
1069,4.4
348,4.1
7441,4.3
7764,4.4
3873,4.8
2363,4.5
5308,4.1
7961,3.9
664,4.3
5197,4.1
7967,3.8
3182,4.5
210,4.6
2605,4.2
4492,3.8
8230,3.4
1099,4.2
604,4.7
8949,4.5
7239,4.3
9342,4.1
2260,4.6
1488,4.5
4658,4.8
4912,4.6
1743,4.2
1330,4.0
5192,4.4
8164,3.6
3116,4.4
2152,4.6
5431,4.7
8364,4.2
8640,4.7
1262,4.4
1493,4.4
2234,4.7
279,4.8
2634,4.2
8015,3.6
6405,4.4
178,4.4
368,4.4
3194,4.5
3917,4.8
1463,4.5
398,4.3
8665,1.9
7928,4.6
6463,4.2
1171,4.3
393,4.3
1762,4.4
4544,4.2
6645,4.3
2504,4.0
2543,4.7
3797,4.4
4609,4.2
8365,3.7
5647,4.4
8183,4.1
2944,4.4
5460,5.0
5654,4.4
2310,4.1
4675,4.3
7904,3.1
2762,4.1
6622,3.0
5272,4.4
4235,4.2
7813,3.8
4403,4.6
8324,4.1
1820,4.4
7192,4.0
4940,3.0
1639,4.6
5448,3.0
7646,4.6
5560,3.7
4827,4.2
7689,3.7
5073,4.6
2552,4.3
3844,4.5
4766,3.4
1910,4.6
5880,3.6
2530,4.5
1421,3.9
975,4.5
5387,4.5
5621,3.3
3451,4.0
8775,4.2
7473,4.4
2139,4.0
